Gliese2 index,B-V color,absolute magnitude
GL1.0,1.45,10.39
GL2.0,1.50,9.76
GL3.0,1.06,7.40
GL4.0A,1.44,8.80
GL4.0B,1.45,8.84
GL4.1A,0.64,4.80
GL4.1B,0.78,5.61
GL4.2A,0.52,3.90
GL5.0,0.75,5.46
GL6.0,0.47,4.20
GL8.0,0.34,1.37
GL9.1,1.03,2.90
GL10.0,0.49,3.80
GL10.1,0.62,5.30
GL13.0,0.64,5.10
GL14.0,1.36,8.30
GL14.1,0.66,4.80
GL15.0A,1.56,10.32
GL15.0B,1.80,13.29
GL16.1,0.68,4.50
GL17.0,0.58,4.96
GL17.2,0.90,6.60
GL17.3,0.66,4.80
GL18.0,0.95,6.57
GL19.0,0.62,3.80
GL20.0,0.17,2.80
GL22.2,0.46,3.70
GL24.0A,0.64,4.80
GL24.0B,0.78,6.40
GL26.0,1.53,10.54
GL27.0,0.85,5.75
GL27.2,0.70,4.80
GL28.0,0.93,6.60
GL29.0,0.56,4.46
GL29.1,1.38,8.50
GL30.0,1.13,7.36
GL31.0,1.01,0.70
GL31.1A,-0.01,2.60
GL31.3,0.34,3.30
GL31.4,0.99,6.50
GL31.5,0.65,5.00
GL33.0,0.88,6.55
GL34.0A,0.57,4.60
GL34.0B,1.39,8.66
GL34.1,0.50,3.40
GL35.0,0.56,14.26
GL36.0,0.79,5.90
GL37.0,0.50,4.23
GL39.0,1.21,8.10
GL40.0,1.29,8.06
GL41.0,0.53,4.10
GL42.0,0.94,6.40
GL44.0,0.83,8.60
GL45.0,1.32,8.30
GL48.0,1.47,10.34
GL49.0,1.50,9.72
GL51.0,1.68,13.81
GL52.0,1.30,8.29
GL52.1,0.94,6.60
GL53.0A,0.69,5.75
GL53.1A,1.12,7.00
GL53.4,0.60,4.20
GL54.2A,0.46,3.50
GL54.2B,0.78,6.20
GL54.3,0.77,7.40
GL55.0,0.58,4.20
GL55.2,1.36,8.40
GL56.3A,0.82,6.25
GL56.3B,1.40,9.00
GL56.4,1.29,7.90
GL56.5,0.82,5.60
GL57.1A,0.91,6.20
GL58.0,0.69,6.20
GL58.1,0.13,1.20
GL58.2,0.96,6.30
GL59.0,0.77,5.90
GL59.1,0.68,4.90
GL59.2,0.65,4.90
GL61.0,0.54,3.06
GL62.0,0.86,6.10
GL64.0,0.34,11.90
GL67.0,0.62,4.66
GL67.1,0.61,4.70
GL67.2,0.70,5.80
GL68.0,0.84,5.88
GL69.0,1.22,7.78
GL70.0,1.59,10.90
GL71.0,0.72,5.72
GL72.0,0.72,5.20
GL74.0,1.04,7.00
GL75.0,0.81,5.91
GL76.0,0.81,6.40
GL77.0,0.64,5.20
GL78.1,0.48,1.90
GL80.0,0.13,1.70
GL81.0A,0.85,2.70
GL81.1,0.82,4.90
GL81.3,0.48,4.20
GL82.1,0.78,5.60
GL83.0,0.28,2.10
GL83.1,1.80,13.91
GL83.2,0.62,4.20
GL83.4A,0.70,5.80
GL84.0,1.53,10.46
GL84.1A,1.40,10.00
GL84.1B,1.52,11.40
GL84.3,1.15,0.60
GL86.0,0.82,5.86
GL86.1,1.02,6.50
GL87.0,1.44,10.03
GL87.1A,0.56,3.90
GL87.1B,0.68,6.00
GL90.0,0.92,6.00
GL91.3,0.73,14.70
GL92.0,0.61,4.80
GL95.0,0.73,5.60
GL96.0,1.49,9.50
GL97.0,0.60,4.60
GL97.1,0.03,1.80
GL100.1,-0.06,10.90
GL103.0,1.39,8.40
GL105.0A,0.97,6.54
GL105.0B,1.61,12.37
GL105.1,0.66,4.00
GL105.2,0.94,6.10
GL105.3,0.60,7.20
GL105.5,1.19,8.00
GL105.6,0.59,3.30
GL106.0,1.07,7.10
GL107.0A,0.49,3.62
GL108.0,0.56,4.63
GL109.0,1.55,11.12
GL110.0,0.53,4.20
GL111.0,0.48,3.70
GL113.0,0.82,6.40
GL114.0,1.27,7.70
GL115.0,0.55,5.20
GL117.0,0.87,6.57
GL118.1A,0.93,6.60
GL118.2A,0.93,6.00
GL118.2B,1.40,8.20
GL118.2C,1.58,12.30
GL120.1C,0.95,6.30
GL121.0,0.16,2.40
GL121.2,0.67,5.50
GL122.0,1.32,8.30
GL123.0,1.35,8.10
GL124.0,0.60,3.72
GL127.1A,0.05,10.00
GL128.0A,0.57,3.80
GL129.0,1.46,13.00
GL131.0,1.23,7.90
GL132.0,0.58,4.60
GL134.0,1.48,9.60
GL135.0,0.67,5.20
GL136.0,0.64,5.28
GL137.0,0.68,4.99
GL138.0,0.60,4.98
GL138.1A,0.68,5.60
GL139.0,0.71,5.29
GL141.0,1.16,7.20
GL141.2,0.72,5.60
GL142.0,1.34,8.00
GL143.0,1.12,7.20
GL143.2A,0.39,3.40
GL143.2B,1.38,9.40
GL143.3,1.55,11.90
GL144.0,0.88,6.13
GL146.0,1.32,8.29
GL147.0,0.57,3.21
GL147.1,0.54,4.60
GL148.0,1.43,8.50
GL149.0,1.15,8.10
